timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1664231683369,2072,Get Users,200,OK,endurance 1-1,text,true,,784,154,2,2,https://project3demo-appservice.azurewebsites.net/api/Users,2071,0,1764
1664231685442,306,Delete Users,200,OK,endurance 1-1,text,true,,310,156,2,2,https://project3demo-appservice.azurewebsites.net/api/Users/2,306,0,0
1664231685748,306,Get User by ID,200,OK,endurance 1-1,text,true,,310,156,2,2,https://project3demo-appservice.azurewebsites.net/api/Users/2,306,0,0
1664231685376,1294,Get Users,200,OK,endurance 1-2,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,1294,0,986
1664231686671,306,Delete Users,200,OK,endurance 1-2,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,306,0,0
1664231686978,215,Get User by ID,200,OK,endurance 1-2,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,215,0,0
1664231687378,904,Get Users,200,OK,endurance 1-3,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,904,0,667
1664231688284,210,Delete Users,200,OK,endurance 1-3,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,210,0,0
1664231688494,219,Get User by ID,200,OK,endurance 1-3,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,219,0,0
1664231689383,864,Get Users,200,OK,endurance 1-4,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,864,0,636
1664231690248,219,Delete Users,200,OK,endurance 1-4,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,218,0,0
1664231690468,219,Get User by ID,200,OK,endurance 1-4,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,219,0,0
1664231691380,907,Get Users,200,OK,endurance 1-5,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,907,0,678
1664231692288,207,Delete Users,200,OK,endurance 1-5,text,true,,313,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,207,0,0
1664231692496,219,Get User by ID,200,OK,endurance 1-5,text,true,,313,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,219,0,0
1664231693385,906,Get Users,200,OK,endurance 1-6,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,906,0,683
1664231694292,212,Delete Users,200,OK,endurance 1-6,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,212,0,0
1664231694505,218,Get User by ID,200,OK,endurance 1-6,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,218,0,0
1664231695382,932,Get Users,200,OK,endurance 1-7,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,931,0,691
1664231696314,212,Delete Users,200,OK,endurance 1-7,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,212,0,0
1664231696527,216,Get User by ID,200,OK,endurance 1-7,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,216,0,0
1664231697381,893,Get Users,200,OK,endurance 1-8,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,893,0,670
1664231698275,224,Delete Users,200,OK,endurance 1-8,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,224,0,0
1664231698500,249,Get User by ID,200,OK,endurance 1-8,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,249,0,0
1664231699381,891,Get Users,200,OK,endurance 1-9,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,891,0,683
1664231700273,210,Delete Users,200,OK,endurance 1-9,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,210,0,0
1664231700483,211,Get User by ID,200,OK,endurance 1-9,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,211,0,0
1664231701381,907,Get Users,200,OK,endurance 1-10,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,907,0,679
1664231702289,204,Delete Users,200,OK,endurance 1-10,text,true,,313,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,204,0,0
1664231702493,219,Get User by ID,200,OK,endurance 1-10,text,true,,313,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,218,0,0
1664231703384,926,Get Users,200,OK,endurance 1-11,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,926,0,693
1664231704310,227,Delete Users,200,OK,endurance 1-11,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,227,0,0
1664231704538,206,Get User by ID,200,OK,endurance 1-11,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,206,0,0
1664231705378,903,Get Users,200,OK,endurance 1-12,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,903,0,679
1664231706281,222,Delete Users,200,OK,endurance 1-12,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,222,0,0
1664231706503,228,Get User by ID,200,OK,endurance 1-12,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,228,0,0
1664231707375,948,Get Users,200,OK,endurance 1-13,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,948,0,744
1664231708323,228,Delete Users,200,OK,endurance 1-13,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,228,0,0
1664231708552,220,Get User by ID,200,OK,endurance 1-13,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,220,0,0
1664231709378,915,Get Users,200,OK,endurance 1-14,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,915,0,699
1664231710294,218,Delete Users,200,OK,endurance 1-14,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,218,0,0
1664231710513,209,Get User by ID,200,OK,endurance 1-14,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,209,0,0
1664231711377,884,Get Users,200,OK,endurance 1-15,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,884,0,676
1664231712262,210,Delete Users,200,OK,endurance 1-15,text,true,,313,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,210,0,0
1664231712472,227,Get User by ID,200,OK,endurance 1-15,text,true,,313,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,227,0,0
1664231713379,855,Get Users,200,OK,endurance 1-16,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,855,0,644
1664231714235,221,Delete Users,200,OK,endurance 1-16,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,220,0,0
1664231714456,207,Get User by ID,200,OK,endurance 1-16,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,207,0,0
1664231715379,1264,Get Users,200,OK,endurance 1-17,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,1264,0,1054
1664231716644,228,Delete Users,200,OK,endurance 1-17,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,228,0,0
1664231716876,208,Get User by ID,200,OK,endurance 1-17,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,208,0,0
1664231717377,892,Get Users,200,OK,endurance 1-18,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,892,0,663
1664231718269,213,Delete Users,200,OK,endurance 1-18,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,213,0,0
1664231718482,221,Get User by ID,200,OK,endurance 1-18,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,221,0,0
1664231719378,877,Get Users,200,OK,endurance 1-19,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,877,0,647
1664231720256,218,Delete Users,200,OK,endurance 1-19,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,218,0,0
1664231720475,217,Get User by ID,200,OK,endurance 1-19,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,217,0,0
1664231721377,846,Get Users,200,OK,endurance 1-20,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,845,0,643
1664231722223,227,Delete Users,200,OK,endurance 1-20,text,true,,313,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,227,0,0
1664231722450,214,Get User by ID,200,OK,endurance 1-20,text,true,,313,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,214,0,0
