timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1664232227813,1352,Get Users,200,OK,stress 1-1,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,1352,0,1107
1664232229164,240,Delete User,200,OK,stress 1-1,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,240,0,0
1664232229404,224,Get User by ID,200,OK,stress 1-1,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,224,0,0
1664232229798,926,Get Users,200,OK,stress 1-2,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,925,0,673
1664232230724,233,Delete User,200,OK,stress 1-2,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,233,0,0
1664232230957,232,Get User by ID,200,OK,stress 1-2,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,232,0,0
1664232231817,1026,Get Users,200,OK,stress 1-3,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,1026,0,689
1664232232844,230,Delete User,200,OK,stress 1-3,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,230,0,0
1664232233074,241,Get User by ID,200,OK,stress 1-3,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,241,0,0
1664232233816,928,Get Users,200,OK,stress 1-4,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,928,0,702
1664232234745,221,Delete User,200,OK,stress 1-4,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,221,0,0
1664232234967,277,Get User by ID,200,OK,stress 1-4,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,277,0,0
1664232235818,919,Get Users,200,OK,stress 1-5,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,919,0,687
1664232236738,240,Delete User,200,OK,stress 1-5,text,true,,313,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,240,0,0
1664232236979,221,Get User by ID,200,OK,stress 1-5,text,true,,313,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,220,0,0
1664232237819,926,Get Users,200,OK,stress 1-6,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,926,0,695
1664232238745,222,Delete User,200,OK,stress 1-6,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,222,0,0
1664232238967,231,Get User by ID,200,OK,stress 1-6,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,231,0,0
1664232239816,927,Get Users,200,OK,stress 1-7,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,927,0,699
1664232240744,220,Delete User,200,OK,stress 1-7,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,220,0,0
1664232240965,221,Get User by ID,200,OK,stress 1-7,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,221,0,0
1664232241817,922,Get Users,200,OK,stress 1-8,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,922,0,676
1664232242740,228,Delete User,200,OK,stress 1-8,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,228,0,0
1664232242968,226,Get User by ID,200,OK,stress 1-8,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,226,0,0
1664232243815,926,Get Users,200,OK,stress 1-9,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,926,0,702
1664232244741,224,Delete User,200,OK,stress 1-9,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,224,0,0
1664232244965,233,Get User by ID,200,OK,stress 1-9,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,233,0,0
1664232245815,968,Get Users,200,OK,stress 1-10,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,968,0,715
1664232246784,224,Delete User,200,OK,stress 1-10,text,true,,313,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,224,0,0
1664232247010,221,Get User by ID,200,OK,stress 1-10,text,true,,313,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,221,0,0
1664232247817,938,Get Users,200,OK,stress 1-11,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,938,0,691
1664232248756,230,Delete User,200,OK,stress 1-11,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,230,0,0
1664232248986,246,Get User by ID,200,OK,stress 1-11,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,245,0,0
1664232249816,1113,Get Users,200,OK,stress 1-12,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,1113,0,873
1664232250929,223,Delete User,200,OK,stress 1-12,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,223,0,0
1664232251153,211,Get User by ID,200,OK,stress 1-12,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,211,0,0
1664232251816,940,Get Users,200,OK,stress 1-13,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,940,0,663
1664232252757,221,Delete User,200,OK,stress 1-13,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,221,0,0
1664232252979,222,Get User by ID,200,OK,stress 1-13,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,222,0,0
1664232253816,861,Get Users,200,OK,stress 1-14,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,861,0,645
1664232254678,220,Delete User,200,OK,stress 1-14,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,220,0,0
1664232254898,219,Get User by ID,200,OK,stress 1-14,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,219,0,0
